ID,Symbol,SystemSymbol,Currency,ContractMultiplier,TickSize,MinOrderSize,MaxOrderSize,StepOrderSize
1,AUDCAD,AUDCAD,AUD,1,0.00001,1000,0,1000
2,AUDCHF,AUDCHF,AUD,1,0.00001,1000,0,1000
3,AUDDKK,AUDDKK,AUD,1,0.00001,1000,0,1000
4,AUDHUF,AUDHUF,AUD,1,0.001,1000,0,1000
5,AUDJPY,AUDJPY,AUD,1,0.001,1000,0,1000
6,AUDNOK,AUDNOK,AUD,1,0.00001,1000,0,1000
7,AUDNZD,AUDNZD,AUD,1,0.00001,1000,0,1000
8,AUDPLN,AUDPLN,AUD,1,0.00001,1000,0,1000
9,AUDSEK,AUDSEK,AUD,1,0.00001,1000,0,1000
10,AUDSGD,AUDSGD,AUD,1,0.00001,1000,0,1000
11,AUDUSD,AUDUSD,AUD,1,0.00001,1000,0,1000
12,CADCHF,CADCHF,CAD,1,0.00001,1000,0,1000
13,CADJPY,CADJPY,CAD,1,0.001,1000,0,1000
14,CHFDKK,CHFDKK,CHF,1,0.00001,1000,0,1000
15,CHFHUF,CHFHUF,CHF,1,0.001,1000,0,1000
16,CHFJPY,CHFJPY,CHF,1,0.001,1000,0,1000
17,CHFNOK,CHFNOK,CHF,1,0.00001,1000,0,1000
18,CHFPLN,CHFPLN,CHF,1,0.00001,1000,0,1000
19,CHFSEK,CHFSEK,CHF,1,0.00001,1000,0,1000
20,CHFSGD,CHFSGD,CHF,1,0.00001,1000,0,1000
21,EURAUD,EURAUD,EUR,1,0.00001,1000,0,1000
22,EURCAD,EURCAD,EUR,1,0.00001,1000,0,1000
23,EURCHF,EURCHF,EUR,1,0.00001,1000,0,1000
24,EURCZK,EURCZK,EUR,1,0.0001,1000,0,1000
25,EURDKK,EURDKK,EUR,1,0.00001,1000,0,1000
26,EURGBP,EURGBP,EUR,1,0.00001,1000,0,1000
27,EURHKD,EURHKD,EUR,1,0.00001,1000,0,1000
28,EURHUF,EURHUF,EUR,1,0.001,1000,0,1000
29,EURILS,EURILS,EUR,1,0.00001,1000,0,1000
30,EURJPY,EURJPY,EUR,1,0.001,1000,0,1000
31,EURMXN,EURMXN,EUR,1,0.00001,1000,0,1000
32,EURNOK,EURNOK,EUR,1,0.00001,1000,0,1000
33,EURNZD,EURNZD,EUR,1,0.00001,1000,0,1000
34,EURPLN,EURPLN,EUR,1,0.00001,1000,0,1000
35,EURRUB,EURRUB,EUR,1,0.00001,1000,0,1000
36,EURSEK,EURSEK,EUR,1,0.00001,1000,0,1000
37,EURSGD,EURSGD,EUR,1,0.00001,1000,0,1000
38,EURTRY,EURTRY,EUR,1,0.00001,1000,0,1000
39,EURUSD,EURUSD,EUR,1,0.00001,1000,0,1000
40,EURZAR,EURZAR,EUR,1,0.00001,1000,0,1000
41,GBPAUD,GBPAUD,GBP,1,0.00001,1000,0,1000
42,GBPCAD,GBPCAD,GBP,1,0.00001,1000,0,1000
43,GBPCHF,GBPCHF,GBP,1,0.00001,1000,0,1000
44,GBPDKK,GBPDKK,GBP,1,0.00001,1000,0,1000
45,GBPHUF,GBPHUF,GBP,1,0.001,1000,0,1000
46,GBPJPY,GBPJPY,GBP,1,0.001,1000,0,1000
47,GBPMXN,GBPMXN,GBP,1,0.00001,1000,0,1000
48,GBPNOK,GBPNOK,GBP,1,0.00001,1000,0,1000
49,GBPNZD,GBPNZD,GBP,1,0.00001,1000,0,1000
50,GBPPLN,GBPPLN,GBP,1,0.00001,1000,0,1000
51,GBPSEK,GBPSEK,GBP,1,0.00001,1000,0,1000
52,GBPSGD,GBPSGD,GBP,1,0.00001,1000,0,1000
53,GBPTRY,GBPTRY,GBP,1,0.00001,1000,0,1000
54,GBPUSD,GBPUSD,GBP,1,0.00001,1000,0,1000
55,GBPZAR,GBPZAR,GBP,1,0.00001,1000,0,1000
56,HKDJPY,HKDJPY,HKD,1,0.001,1000,0,1000
57,NOKJPY,NOKJPY,NOK,1,0.001,1000,0,1000
58,NOKSEK,NOKSEK,NOK,1,0.00001,1000,0,1000
59,NZDCAD,NZDCAD,NZD,1,0.00001,1000,0,1000
60,NZDCHF,NZDCHF,NZD,1,0.00001,1000,0,1000
61,NZDHUF,NZDHUF,NZD,1,0.001,1000,0,1000
62,NZDJPY,NZDJPY,NZD,1,0.001,1000,0,1000
63,NZDSGD,NZDSGD,NZD,1,0.00001,1000,0,1000
64,NZDUSD,NZDUSD,NZD,1,0.00001,1000,0,1000
65,SEKJPY,SEKJPY,SEK,1,0.001,1000,0,1000
66,SGDJPY,SGDJPY,SGD,1,0.001,1000,0,1000
67,TRYJPY,TRYJPY,TRY,1,0.001,1000,0,1000
68,USDCAD,USDCAD,USD,1,0.00001,1000,0,1000
69,USDCHF,USDCHF,USD,1,0.00001,1000,0,1000
70,USDCNH,USDCNH,USD,1,0.00001,1000,0,1000
71,USDCZK,USDCZK,USD,1,0.0001,1000,0,1000
72,USDDKK,USDDKK,USD,1,0.00001,1000,0,1000
73,USDHKD,USDHKD,USD,1,0.00001,1000,0,1000
74,USDHUF,USDHUF,USD,1,0.001,1000,0,1000
75,USDILS,USDILS,USD,1,0.00001,1000,0,1000
76,USDJPY,USDJPY,USD,1,0.001,1000,0,1000
77,USDMXN,USDMXN,USD,1,0.00001,1000,0,1000
78,USDNOK,USDNOK,USD,1,0.00001,1000,0,1000
79,USDPLN,USDPLN,USD,1,0.00001,1000,0,1000
80,USDRUB,USDRUB,USD,1,0.00001,1000,0,1000
81,USDSEK,USDSEK,USD,1,0.00001,1000,0,1000
82,USDSGD,USDSGD,USD,1,0.00001,1000,0,1000
83,USDTHB,USDTHB,USD,1,0.001,1000,0,1000
84,USDTRY,USDTRY,USD,1,0.00001,1000,0,1000
85,USDZAR,USDZAR,USD,1,0.00001,1000,0,1000
86,ZARJPY,ZARJPY,ZAR,1,0.001,1000,0,1000
87,UKOUSD,UKOUSD,USD,1,0.001,1,0,1000
88,USOUSD,USOUSD,USD,1,0.001,1,0,1000
89,XAGEUR,XAGEUR,EUR,1,0.001,10,0,1000
90,XAGSGD,XAGSGD,SGD,1,0.001,50,0,1000
91,XAGUSD,XAGUSD,USD,1,0.001,10,0,1000
92,XALUSD,XALUSD,USD,1,0.001,1,0,1000
93,XAUAUD,XAUAUD,AUD,1,0.01,1,0,1000
94,XAUCNH,XAUCNH,CNH,1,0.001,10,0,1000
95,XAUEUR,XAUEUR,EUR,1,0.001,1,0,1000
96,XAUGBP,XAUGBP,GBP,1,0.001,10,0,1000
97,XAUSGD,XAUSGD,SGD,1,0.001,1,0,1000
98,XAUTRY,XAUTRY,TRY,1,0.001,10,0,1000
99,XAUUSD,XAUUSD,USD,1,0.001,1,0,1000
100,XCUUSD,XCUUSD,USD,1,0.001,1,0,1000
101,XNGUSD,XNGUSD,USD,1,0.001,100,0,1000
102,XNIUSD,XNIUSD,USD,1,0.001,1,0,1000
103,XPBUSD,XPBUSD,USD,1,0.001,1,0,1000
104,XPDUSD,XPDUSD,USD,1,0.001,10,0,1000
105,XPTUSD,XPTUSD,USD,1,0.001,1,0,1000
106,XZNUSD,XZNUSD,USD,1,0.001,1,0,1000
